,title,company name,link,date listed,salary,job description,Partially visually impaired,Hearing Impaired,LV,HI,MPD,PD,CP
14,Aircraft Planner,ORIENTAL AVIATION INTERNATIONAL PTE. LTD.,sg.indeed.com/rc/clk?jk=92342c396618479f&fccid=bb475363a2b5bc1f&vjs=3,Posted12 days ago,"$2,500 - $3,300 a month","At least 1 year Coordination Experience.
Planning of items and equipment to prepare for Aircraft repairing and modifications.",0.0,0.0,0,0,0,1,0
15,Administrative Assistant,Bridge for Business,sg.indeed.com/company/FY-&-Associates/jobs/Administrative-Assistant-abc8c60a01bfd075?fccid=b46c7109bedb45c0&vjs=3,EmployerActive 4 days ago,"$2,000 - $3,000 a month","Supports managers and employees through a variety of tasks related to organization and communication.
Administrative assistants are responsible for confidential…",2.0,2.0,1,1,1,1,1
16,Aircraft Technician,AJI INTERNATIONAL PTE. LTD.,sg.indeed.com/rc/clk?jk=de85d0e116d9383d&fccid=9b316b39294c6d64&vjs=3,Posted3 days ago,"$2,600 - $3,200 a month","Conducts daily routine pre-flight inspection including servicing prior to aircraft departure.
Proficiency in the English language (Read, Write, Speak).",0.0,0.0,0,0,0,0,0
17,Dish Washer,JIELO PTE. LTD.,sg.indeed.com/rc/clk?jk=54302d6f9c52957b&fccid=577e035c93506f88&vjs=3,Posted4 days ago,"$2,000 - $2,500 a month","Wash and sanitize all cups, glasses, pans, utensils and dishes.
Maintain a clean work area and kitchen by sweeping and mopping as needed.",3.0,5.0,0,0,0,0,0
18,ADMINISTRATOR,M2M CONSTRUCTION PTE. LTD.,sg.indeed.com/rc/clk?jk=26acfbf92e7ecf8d&fccid=8987cb2e5ab80300&vjs=3,Posted6 days ago,"$2,900 - $4,000 a month","Answering incoming calls; taking messages and re-directing calls as required.
Diary management and arranging appointments, booking meeting rooms and conference…",3.0,0.0,0,0,0,0,0
19,Home-Based Video Editors,Goody Feed Pte Ltd,sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuczEXKm0KCalXVY2Jfo5axbgHRCkGOpInMJqJV2y_mEXDACtt2gnMA0NkYN6JyU3DgrSJcAv68ASWUWYAkMkulQqGQwJZDRTr4jPgfxFE5yupsPlgzPw5Dp9Cq6SGxWtlAUY4eO7H0NH66O6X2ed4D2232jGbmLmZR5F-lfgFYEW2Vcs3oNnInKA7NGkeel18xaHMBmZD-BBwD6wYj0ArT-vXdP0nOR0620LeBl25tIOcbUx6MGR94XVjNiPu487Amyai389dk5Va-GX0GB3-X4LEvRaKBrgqJNJafyoXfpr4vQQV8aaVrD8yWrmhkfzIr6Cw17sktcjKy3FKxuNtPGroFVq9mZJcbPWvJkX8qzbgkB1SLPIZUVyVneLB7RkVoq-lspun2XAFutECflRq9eI-AKUV_HUFvgxka-hqvCCFMAnDoOA1IhNgN1gSibU3Kzouzw41uAKqsXDTfyyipIVG-jwDvGI=&p=10&fvj=1&vjs=3,EmployerActive 9 days ago,"$1,500 - $2,500 a month","3pm to 330pm*: Insertion of subtitles.
Job Types: Full-time, Part-time, Freelance.",0.0,0.0,0,0,0,0,0
20,Data Entry Executive,SINGAPORE AQUACULTURE TECHNOLOGIES (SAT) PTE. LTD.,sg.indeed.com/rc/clk?jk=214e8990d8e3dbe6&fccid=0ea8b742dfb25d73&vjs=3,Posted3 days ago,"$2,000 - $2,500 a month","Key in of data and record of figures.
Do basic analysis of data and figures.
Prepare all sorts of report needed from the data.",2.0,4.0,1,0,1,1,1
21,Hotel Receiptionist,BRILLIANT HOSPITALITY PTE. LTD.,sg.indeed.com/rc/clk?jk=9b673b0a9145ecc4&fccid=db4119c8ad9a9ba2&vjs=3,PostedJust posted,"$2,200 - $3,200 a month","Able to work on extra hours.
Able to guide room guest to room.
Able to work during Public Holiday.
Daily report to operation manager and ensure smooth operation…",3.0,0.0,1,0,1,1,1
22,Retail Assistant,Singapore,sg.indeed.com/rc/clk?jk=642ddb55a513a301&fccid=3ddb8f68c8f9f588&vjs=3,Posted3 days ago,"$2,500 a month","Up to 6 off days.
5 - 6 days work week.
Assist In-Charge in maintaining shop clean & tidy.
Assist In-Charge in stock inventory.",3.0,4.0,1,1,1,1,1
23,Self - Photo Studio Staff,Initia Group,sg.indeed.com/company/Redzgroup-Pte-Ltd/jobs/Self-137967d932de5298?fccid=e95d4c58fd6fe52d&vjs=3,PostedJust posted,$9 - $12 an hour,"*Work Status: * Full-time, Part-time, & Internship.
Leekaja Beauty Salon Singapore & Malaysia.
Am I Addicted - Pottery Studio & Vegan Cafe.",0.0,4.0,0,0,0,0,0
24,Parcel Delivery,Wesearch Pte Ltd,sg.indeed.com/rc/clk?jk=0cce759d6aaf4a52&fccid=62cab8dc744851ce&vjs=3,Posted30+ days ago,"$4,600 a month","Singapore based logistic that provides services customized to address strategy, process, and project management needs to leading company across Singapore.",2.0,2.0,0,0,0,0,0
25,wallpaper installer,HOME EDITION STORE,sg.indeed.com/rc/clk?jk=d08d13791e051bdf&fccid=9499bb6ad6add0e0&vjs=3,Posted6 days ago,"$2,000 - $3,000 a month","The company will train you to become installation supervisor in the professional field.
Installation job of wallpapers, curtains and other company related…",2.0,5.0,0,0,1,1,0
26,Administration Clerk,KF EMPLOYMENT CONSULTANTS,sg.indeed.com/rc/clk?jk=e164c6fa79bc14a3&fccid=733b545f723982b4&vjs=3,Posted7 days ago,"$2,200 - $2,500 a month","To support account department in administrative matter.
Generate Purchase Order and co-ordinate deliveries different sites.",2.0,1.0,1,1,1,1,1
27,Warehouse / Packer Assistant,DASHMESH SINGAPORE PTE. LTD.,sg.indeed.com/rc/clk?jk=1e4d07c73ad33a87&fccid=4be0899801d35413&vjs=3,Posted8 days ago,"$2,200 - $2,800 a month","Prefer to work in warehouse environment.
Assist warehouse supervisor in stock such as picking and packing of stocks.
Have at least a PSLE certificate.",3.0,4.0,0,0,0,1,0
28,Customer Experience Manager,Cultivar Asia Pte Ltd,sg.indeed.com/company/Cultivar-Asia-Pte-Ltd/jobs/Customer-Experience-Manager-22eeac1830efb2ba?fccid=4bc2f9d73874621a&vjs=3,Posted12 days ago,"$6,000 - $6,500 a month","Minimum Diploma in business or relevant field.
Lead and execute customer experience projects.
Conduct in depth research and investigations to understand…",1.0,3.0,0,0,1,1,1
29,Administrative Officer,SMART MEDIA4U TECHNOLOGY PTE. LTD.,sg.indeed.com/rc/clk?jk=083081608119aec3&fccid=9784ea85622b599e&vjs=3,Posted12 days ago,"$3,500 - $6,000 a month","Main duties include managing office stock, preparing regular reports (e.g. expenses and office budgets) and organizing company records .",2.0,4.0,1,1,1,1,1
30,SCHOOL ADMIN ASSISTANT,ENTERPRISE SOFTWARE SOLUTIONS PRIVATE LIMITED,sg.indeed.com/rc/clk?jk=93f4ceab2666605f&fccid=1187c76646c1117e&vjs=3,Posted7 days ago,"$1,600 - $2,200 a month","Minimum 1 year relevant experience in a front-line customer service position.
Position Name : Admin Assistant for the school General Office.",1.0,1.0,0,0,0,0,0
31,Part-time Corporate/Workshop Trainer,Edupedia Language And Training Pte Ltd,sg.indeed.com/company/Edupedia-Language-And-Training-Pte-Ltd/jobs/Part-Time-Corporate-Workshop-Trainer-a81bae14aea7c487?fccid=cd4f79fe7141f43f&vjs=3,EmployerActive 1 day ago,$35 - $45 an hour,"We offer a wide range of language courses from beginner to advanced level, as well as IELTS and HSK preparation course.
Part-time hours: 10 per week.",1.0,1.0,0,0,0,1,0
32,BOARDING OFFICER,Maritime Singapore Connect,sg.indeed.com/rc/clk?jk=a90d3aff4d3b968c&fccid=2e2e119022ee01f4&vjs=3,Posted30+ days ago,"$2,400 - $3,500 a month","Good interpersonal skills with the ability to build relationships with people of all levels.
Boarding Officers are onsite operations personnel with knowledge of…",3.0,1.0,0,0,0,0,0
33,Warehouse Packer,MURANO PTE. LTD.,sg.indeed.com/rc/clk?jk=1815a048a362cd52&fccid=200bb39c2e463c41&vjs=3,Posted7 days ago,"$1,600 - $2,000 a month","Daily administrative duties as per assigned.
Pick and pack items as per daily orders;
9.00am to 6pm with lunch break in between.
Sorting out incoming shipment.",2.0,4.0,1,1,0,1,1
34,Cashier,DC UNITED PTE. LTD.,sg.indeed.com/rc/clk?jk=0b375ed272c952bc&fccid=2af994901f7793b3&vjs=3,Posted12 days ago,"$1,800 - $2,500 a month","No experience needed, training provided.",3.0,5.0,1,1,1,1,1
35,Library Assistant,AUSTRALIAN INTERNATIONAL SCHOOL PTE. LTD.,sg.indeed.com/rc/clk?jk=dba7d4df333d6f59&fccid=5ddef898fc765ede&vjs=3,Posted9 days ago,"$2,000 - $2,500 a month",Safer recruitment practice and pre-employment background checks will be undertaken before any appointment is confirmed.,2.0,4.0,1,1,1,1,1
36,Part Time Safe Work Ambassador / Safe Entry,BHG SINGPORE PTE LTD,sg.indeed.com/company/BHG/jobs/Safe-Work-Ambassador-0f6e84f5e742dca6?fccid=32603eed83917e49&vjs=3,EmployerActive 23 days ago,$8.50 an hour,"_Bringing SOPs to life through education of all staff, customers and visitors_.
_Able to work at least 3 days per week_.
_Assist with weekly ART Tests_.",2.0,5.0,0,0,0,0,0
37,"Human Resource - Recruitment Consultant (No need experience,...",RECRUITPEDIA PTE. LTD.,sg.indeed.com/rc/clk?jk=3dbc7b78ad073b29&fccid=668d88e6e1c7f81f&vjs=3,Posted10 days ago,"$2,400 - $4,000 a month","Junior / Entry / Senior Level (No experience required).
Competitive salary Package - Basic salary and sales incentives / commission.",1.0,1.0,1,0,1,1,0
38,Patient Service Associate,NATIONAL UNIVERSITY POLYCLINICS,sg.indeed.com/rc/clk?jk=ce634e00bfaa5f83&fccid=5051d8e94fd6678e&vjs=3,Posted4 days ago,"$1,600 - $2,400 a month","You will facilitate patients' journey through the various service points in polyclinics and provide patient care services such as measurement of weight, height,…",2.0,3.0,1,0,1,1,1
39,General worker,RICHWERKZ PTE. LTD.,sg.indeed.com/rc/clk?jk=97ab6c5a4cd6f231&fccid=0ef3b7cd5246ea95&vjs=3,Posted3 days ago,"$2,200 - $2,800 a month","Must able to read and write English language.
To provide labour support to technician in the process of equipment facilities installation.",0.0,4.0,0,0,0,0,0
40,Hand Packer,SUNRISE GREENS,sg.indeed.com/rc/clk?jk=0085a897e5208525&fccid=6746ca4ea3d3b3ce&vjs=3,Posted30+ days ago,"$2,500 - $3,800 a month",Products weight from 10 - 25kg ++.,3.0,5.0,1,1,1,1,1
41,Hiring Administrative And Data Entry Clerk,Singapore,sg.indeed.com/rc/clk?jk=a3418e0b30b65fab&fccid=3ddb8f68c8f9f588&vjs=3,Posted7 days ago,$28 an hour,"You will also be required to assist in the day to day running of the office, You must have a good ability to learn quickly, able to multi-task and work under…",2.0,4.0,0,0,1,1,1
42,Boost Juice SG PART TIME,Boost Juice,sg.indeed.com/company/Boost-Juice/jobs/Sg-ba52e48bc675f876?fccid=352b27b1d39d51af&vjs=3,Posted2 days ago,$7.00 - $7.50 an hour,"Additional $0.50 incentive if you hit the minimum hours per month.
Part-time hours: 15 per week.
Job Types: Part-time, Permanent, Contract, Student job.",3.0,2.0,0,0,0,0,0
